,Age,WorkClass,fnlwgt,Edu_num,Marital_Status,Occupation,Relationship,Race,Sex,Capital_Gain,Capital_Loss,hpweek,Native_Country,Income
19613,43,Private,253759,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,45,United-States,0
9612,55,Private,174478,6,Never-married,Other-service,Not-in-family,White,Male,0,0,29,United-States,0
13086,22,Private,180449,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,28,United-States,0
25686,32,Private,283400,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
5647,30,Private,164190,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,38,United-States,0
47386,45,Private,151817,14,Separated,Tech-support,Unmarried,White,Female,0,0,36,United-States,0
29130,17,Private,28031,5,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,0
38034,19,Private,255117,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,0
11432,29,Private,166210,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,55,United-States,0
22376,29,Private,161857,9,Married-spouse-absent,Other-service,Not-in-family,OtherRace,Female,0,0,40,OtherCountry,0
31385,24,Private,236696,9,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,0
15157,26,Private,28443,11,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
35934,22,State-gov,181096,13,Never-married,Prof-specialty,Own-child,Black,Male,0,0,20,United-States,0
45948,31,Private,463601,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,40,United-States,0
6274,35,Private,245090,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,OtherCountry,0
40259,42,Private,159911,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,24,United-States,0
37701,43,Private,245975,5,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,84,United-States,0
41822,38,Private,54953,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0
41114,53,Private,96062,5,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,0
34519,58,Private,152874,10,Widowed,Other-service,Not-in-family,Black,Female,0,0,40,United-States,0
11244,32,Private,171116,9,Divorced,Other-service,Own-child,White,Female,0,0,40,United-States,0
28181,45,Private,151518,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,0
2395,25,Private,302465,8,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,1741,40,United-States,0
29170,35,Private,85399,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
12358,35,Private,142282,10,Separated,Other-service,Unmarried,White,Female,0,0,25,United-States,0
12820,32,Private,207685,9,Married-civ-spouse,Handlers-cleaners,Wife,Black,Female,3908,0,40,United-States,0
10417,54,Private,172962,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
33984,23,Private,64520,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
19632,39,Private,51264,7,Divorced,Other-service,Own-child,White,Male,0,0,40,United-States,0
45032,36,Private,224541,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,OtherCountry,0
14049,38,Private,117528,13,Never-married,Other-service,Other-relative,White,Female,0,0,45,United-States,0
43380,41,Private,118484,10,Separated,Sales,Not-in-family,White,Male,0,0,40,United-States,0
48335,45,Self-emp-not-inc,116789,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,0
36682,32,Private,115066,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
18758,26,Self-emp-not-inc,201930,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
15326,32,Local-gov,223267,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,48,United-States,0
19406,20,Private,174714,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
29615,31,Private,243165,13,Never-married,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,0
6845,58,Private,213975,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
24276,21,Private,161415,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,0
34357,24,Local-gov,137300,9,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,0
6583,41,Private,132633,7,Divorced,Priv-house-serv,Unmarried,White,Female,0,0,25,OtherCountry,0
29972,47,Private,293623,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,OtherCountry,0
45396,27,Private,110622,13,Never-married,Adm-clerical,Not-in-family,OtherRace,Female,0,0,40,OtherCountry,0
46562,28,Private,181597,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,0
25401,48,Self-emp-not-inc,108557,10,Divorced,Sales,Not-in-family,White,Female,3325,0,60,United-States,0
38373,45,Private,120121,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
40219,35,Private,100634,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
38715,56,Self-emp-not-inc,32855,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,0
43067,28,Private,303601,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
6257,40,Private,436493,9,Never-married,Other-service,Own-child,White,Male,0,0,25,United-States,0
809,20,Private,138768,9,Never-married,Transport-moving,Own-child,White,Male,0,0,30,United-States,0
39824,25,Private,180246,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,1408,40,United-States,0
42283,33,Federal-gov,198827,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
34547,28,Private,216013,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
36394,27,Local-gov,131310,10,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
29277,39,Private,115422,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States,0
11035,38,Private,112093,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
7304,23,Private,398904,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,0
26904,26,Local-gov,150553,13,Never-married,Adm-clerical,Own-child,OtherRace,Female,0,0,50,United-States,0
18857,26,Local-gov,202286,13,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,0
26698,36,Private,273604,13,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
6254,23,Private,178818,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
31068,19,Private,117444,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
45168,45,Private,154174,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
10963,52,Local-gov,152795,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
329,66,Private,127921,9,Never-married,Transport-moving,Not-in-family,White,Male,2050,0,55,United-States,0
34073,41,Private,197372,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States,0
42386,25,Private,112835,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
3320,46,Private,180695,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
34903,59,Private,24244,10,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
43861,51,Private,263439,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
31650,32,Private,46691,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
16801,56,Private,111218,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,0
34942,38,Private,186531,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
29480,24,Private,138504,9,Separated,Prof-specialty,Unmarried,Black,Female,0,0,37,United-States,0
11806,35,Private,79050,9,Never-married,Transport-moving,Unmarried,Black,Male,0,0,72,United-States,0
16780,37,Private,177858,10,Never-married,Exec-managerial,Not-in-family,White,Male,2174,0,40,United-States,0
29448,33,Private,361497,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,70,United-States,0
12456,31,Private,38223,13,Never-married,Sales,Own-child,White,Male,0,0,45,United-States,0
32013,61,Private,179743,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,20,United-States,0
1538,22,Private,214731,6,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,0
39771,52,Local-gov,48413,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
10021,45,Private,161819,7,Separated,Adm-clerical,Unmarried,Black,Female,0,0,25,United-States,0
7013,27,Private,168827,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
20479,64,Self-emp-not-inc,352712,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55,United-States,0
18863,41,State-gov,129865,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
47308,20,Private,201729,10,Never-married,Protective-serv,Own-child,White,Male,0,0,33,United-States,0
24069,22,Private,385077,9,Never-married,Craft-repair,Own-child,White,Male,2907,0,40,United-States,0
4122,44,Private,242619,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
5603,23,Private,320451,13,Never-married,Exec-managerial,Own-child,OtherRace,Male,0,0,24,United-States,0
14278,38,Private,146178,9,Never-married,Craft-repair,Unmarried,Black,Female,0,0,40,United-States,0
31150,53,Local-gov,137250,14,Widowed,Prof-specialty,Unmarried,Black,Female,0,1669,35,United-States,0
29414,33,Federal-gov,94193,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
6829,24,Private,402778,5,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,0
26276,27,Private,394927,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,0
8140,27,Private,357348,9,Separated,Other-service,Unmarried,White,Female,0,0,50,United-States,0
19330,48,Private,155659,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
34911,25,Private,266668,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,20,United-States,0
37296,20,Private,199698,5,Never-married,Transport-moving,Unmarried,White,Male,0,0,35,United-States,0
16235,59,Private,307423,5,Never-married,Other-service,Not-in-family,Black,Male,0,0,50,United-States,0
15176,74,Private,292627,2,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,0
29478,38,Private,175972,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,0
5258,20,Private,309580,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
30923,26,Private,247025,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-States,0
43691,38,Private,248445,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,OtherCountry,0
10440,19,Private,252292,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
42243,24,Private,88926,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,United-States,0
24155,70,Private,306563,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
9677,22,Private,160120,6,Never-married,Transport-moving,Own-child,OtherRace,Male,0,0,30,United-States,0
19640,28,Self-emp-not-inc,51461,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
800,43,Private,154538,12,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
16827,23,Private,381741,12,Never-married,Prof-specialty,Own-child,White,Male,0,1721,20,United-States,0
21122,28,Private,71733,10,Separated,Other-service,Unmarried,White,Female,0,0,15,United-States,0
19402,31,Private,196227,9,Separated,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
30133,38,Private,65624,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
44767,75,Self-emp-not-inc,106873,7,Widowed,Sales,Not-in-family,White,Male,0,0,40,United-States,0
18229,42,Self-emp-not-inc,79036,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United-States,0
10787,76,Private,116202,9,Widowed,Other-service,Unmarried,White,Female,0,0,33,United-States,0
39576,30,Private,200700,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,0
29466,64,Private,59829,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,25,OtherCountry,0
37507,20,Private,256504,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,0
17229,41,Self-emp-not-inc,277783,10,Divorced,Craft-repair,Not-in-family,White,Male,0,2001,50,United-States,0
32823,29,Private,100293,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
22322,47,Private,23545,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
33985,44,State-gov,119567,14,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
36164,22,Private,33272,9,Never-married,Other-service,Not-in-family,White,Male,0,0,25,United-States,0
11668,28,Private,337378,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
17496,43,Private,117728,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,0
8568,45,Private,377757,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
47618,37,Private,135089,10,Divorced,Other-service,Unmarried,White,Female,0,0,56,United-States,0
44518,48,Private,178313,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0
18310,18,Self-emp-not-inc,258474,6,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
20259,51,Local-gov,193720,9,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,0
41102,53,Private,104258,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
32955,41,Private,155041,9,Never-married,Prof-specialty,Own-child,White,Female,3418,0,40,United-States,0
9708,19,Private,128453,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,28,United-States,0
22081,37,Private,36425,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
36515,23,Private,60783,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
48114,31,Self-emp-not-inc,55912,5,Never-married,Craft-repair,Unmarried,White,Male,0,0,47,United-States,0
31440,44,Private,201599,7,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,0
24997,33,Private,278514,9,Divorced,Craft-repair,Own-child,White,Female,0,0,42,United-States,0
32495,26,Private,179010,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,65,United-States,0
26380,35,Self-emp-not-inc,22641,9,Married-civ-spouse,Transport-moving,Husband,OtherRace,Male,0,0,40,United-States,0
10762,45,Self-emp-inc,185497,13,Married-civ-spouse,Exec-managerial,Wife,OtherRace,Female,0,0,70,United-States,0
17215,43,Private,206878,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,60,United-States,0
40340,24,Private,118792,10,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,0
33012,65,Self-emp-not-inc,178878,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,48,United-States,0
1377,54,Private,449257,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
19260,29,Private,54932,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
40362,25,Private,207258,5,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,OtherCountry,0
45843,46,Private,135803,13,Never-married,Exec-managerial,Not-in-family,OtherRace,Male,0,0,40,OtherCountry,0
39619,25,Private,201481,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
16698,38,State-gov,143517,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,0
32872,22,Private,197200,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
16680,20,State-gov,39478,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,54,United-States,0
17820,54,Self-emp-not-inc,199741,9,Widowed,Craft-repair,Not-in-family,White,Male,0,2001,35,United-States,0
38205,52,Private,197322,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
18925,56,Private,81220,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,OtherCountry,0
12863,44,Federal-gov,399155,9,Never-married,Craft-repair,Own-child,Black,Female,0,0,40,United-States,0
45972,66,Self-emp-not-inc,51687,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,20,United-States,0
45751,26,Private,109457,6,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,48,United-States,0
41072,28,Private,134890,13,Never-married,Sales,Own-child,White,Male,0,1974,50,United-States,0
33603,44,State-gov,267464,10,Separated,Tech-support,Own-child,Black,Female,0,0,40,United-States,0
23240,44,Private,157236,10,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0,0,40,OtherCountry,0
17380,41,Local-gov,97064,11,Divorced,Adm-clerical,Unmarried,White,Female,0,0,44,United-States,0
42949,29,Private,202558,11,Married-civ-spouse,Tech-support,Other-relative,White,Female,0,0,40,United-States,0
27164,50,Private,95435,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1579,65,OtherCountry,0
21491,75,Private,35724,9,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,8,United-States,0
45807,33,Private,369258,13,Never-married,Handlers-cleaners,Other-relative,White,Female,0,0,40,OtherCountry,0
6297,50,Local-gov,138358,10,Separated,Other-service,Unmarried,Black,Female,0,0,28,United-States,0
11004,31,Private,206512,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,0
5966,45,Self-emp-not-inc,242552,8,Divorced,Craft-repair,Other-relative,Black,Male,0,0,35,United-States,0
20173,54,Local-gov,375134,11,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
47908,25,Private,78605,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
35268,37,Private,194820,9,Separated,Craft-repair,Unmarried,White,Female,0,0,42,United-States,0
41271,19,Private,239862,10,Never-married,Prof-specialty,Other-relative,White,Male,0,0,40,United-States,0
21192,52,Private,145333,13,Divorced,Sales,Not-in-family,White,Male,0,0,60,United-States,0
32511,25,Local-gov,514716,13,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,0
29903,30,State-gov,111883,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
38258,48,Federal-gov,102359,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
26837,37,Federal-gov,197284,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
46743,23,Private,302312,9,Divorced,Protective-serv,Not-in-family,Black,Male,0,0,40,United-States,0
1380,25,Private,208999,10,Separated,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
22814,21,Private,202871,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,20,United-States,0
9112,25,Private,61956,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,0
20023,43,Private,35523,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,0
37042,21,Private,30796,10,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,0
41884,38,Self-emp-inc,64875,11,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,0
43647,60,Private,178551,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,26,United-States,0
20650,48,Private,216214,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
35084,33,Private,145437,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
407,46,Self-emp-not-inc,317253,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,25,United-States,0
27956,37,Private,324947,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
6592,66,Private,284021,9,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,0
2241,54,Private,101017,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
3982,50,Private,139464,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,36,OtherCountry,0
40241,45,Self-emp-not-inc,165267,5,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,0
36925,33,Private,100294,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,0
11569,55,Private,130957,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
8626,22,State-gov,157541,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,10,United-States,0
29276,35,Private,397307,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,0
27932,39,Private,32146,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
24568,56,Private,34626,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,1980,40,United-States,0
7577,25,Private,53903,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
16494,63,Private,106910,3,Widowed,Other-service,Other-relative,OtherRace,Female,0,0,19,OtherCountry,0
16187,37,Federal-gov,448337,9,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,0
33633,33,Private,231826,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,OtherCountry,0
48050,64,Private,301352,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
4682,29,Private,250967,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
28625,20,Private,247794,9,Never-married,Sales,Not-in-family,White,Female,0,0,84,United-States,0
19610,22,Private,340543,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
46379,30,Private,131415,13,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,60,United-States,0
7281,53,Private,30290,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0
17050,56,Self-emp-not-inc,179594,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,0
26111,25,Private,188767,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
29394,29,Private,235393,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,0
4402,24,Private,399449,13,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
27387,30,Private,182714,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,OtherCountry,0
10421,38,Private,234901,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
45269,32,Private,137421,9,Married-spouse-absent,Other-service,Other-relative,OtherRace,Male,0,0,40,OtherCountry,0
43290,37,Private,22494,10,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,0,0,41,United-States,0
10294,31,Private,102884,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,0
25107,43,State-gov,206927,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
37558,40,Private,202466,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,60,United-States,0
26008,34,Private,261418,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
20727,20,Private,211293,10,Never-married,Sales,Own-child,Black,Female,0,0,14,United-States,0
42998,20,Private,143604,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
13355,20,Private,84726,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
14716,23,Private,434467,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,42,United-States,0
11295,24,Private,420779,9,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,35,United-States,0
13638,39,Private,498785,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
20449,32,Private,105938,9,Divorced,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,0
41688,34,Private,159268,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
24836,30,Private,175931,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
42297,42,State-gov,126333,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
4895,38,Self-emp-inc,257250,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,0
45313,28,Private,203171,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
31921,25,Private,90752,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
23954,30,Private,101697,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,United-States,0
38673,45,Private,184441,4,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,42,United-States,0
36173,34,Private,424988,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,OtherCountry,0
42178,25,Private,148298,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
28096,21,Private,96844,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,0
23666,35,Local-gov,226311,10,Divorced,Adm-clerical,Own-child,White,Female,0,0,38,United-States,0
23858,41,Self-emp-not-inc,408498,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0
39597,46,Private,334421,13,Divorced,Sales,Unmarried,OtherRace,Female,0,0,40,OtherCountry,0
25712,52,Federal-gov,125796,9,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,0
4731,43,Private,212894,9,Divorced,Craft-repair,Other-relative,White,Male,0,0,40,United-States,0
4726,31,Private,260782,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1579,45,OtherCountry,0
5017,27,Private,198813,9,Divorced,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,0
24860,23,Private,447488,5,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,35,OtherCountry,0
36329,23,Local-gov,49296,10,Married-spouse-absent,Prof-specialty,Own-child,Black,Male,0,0,40,United-States,0
41364,22,Private,285775,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
7769,28,Private,136077,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
17257,28,Private,181916,10,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
24928,45,Federal-gov,359808,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
4427,27,Private,51025,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
40379,38,Private,108947,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,2174,0,40,United-States,0
9931,20,Federal-gov,55233,10,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,0
47727,46,Private,198660,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
40400,35,State-gov,37314,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,0
153,21,Private,296158,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,0
34329,19,Private,89211,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
218,45,Private,109434,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,0
13034,32,Private,281384,9,Married-AF-spouse,Other-service,Other-relative,White,Female,0,0,10,United-States,0
27185,28,Self-emp-not-inc,294398,10,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,0
6575,45,Private,110171,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
5340,74,Private,204840,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,56,OtherCountry,0
42216,33,Private,166275,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
14462,26,Private,142081,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,OtherCountry,0
27019,61,Private,203126,13,Divorced,Priv-house-serv,Not-in-family,White,Female,0,0,12,United-States,0
